"NAME";"(O)NAME";"DATE_OF_BIRTH";"(O)DATE_OF_BIRTH";"PLACE_OF_BIRTH";"(O)PLACE_OF_BIRTH"
"Patrick Beverley";"Patrick Beverley";"1988-07-12";"1988-07-12";"Chicago";"chicago"
"Patrick Beverley";"Patrick Beverley";"1988-07-12";"1988-07-12";"Chicago";"chicago"
"Patrick Beverley";"Patrick Beverley";"1988-07-12";"1988-07-12";"Chicago";"chicago"
"Monta Ellis";"Monta Ellis";"1985-10-26";"1985-10-26";"Jackson";"jackson"
"Monta Ellis";"Monta Ellis";"1985-10-26";"1985-10-26";"Jackson";"jackson"
"Monta Ellis";"Monta Ellis";"1985-10-26";"1985-10-26";"Jackson";"jackson"
"Mike Miller";"Mike Miller";"1980-02-19";"1980-02-19";"Mitchell";"mitchell"
"Mike Miller";"Mike Miller";"1980-02-19";"1980-02-19";"Mitchell";"mitchell"
"Mike Miller";"Mike Miller";"1980-02-19";"1980-02-19";"Mitchell";"mitchell"
"James Harden";"James Harden";"1989-08-26";"1989-08-26";"Los Angeles";"bellflower"
"James Harden";"James Harden";"1989-08-26";"1989-08-26";"Los Angeles";"bellflower"
"James Harden";"James Harden";"1989-08-26";"1989-08-26";"Los Angeles";"bellflower"
"Tyreke Evans";"Tyreke Evans";"1989-09-19";"1989-09-19";"Chester";"chester"
"Tyreke Evans";"Tyreke Evans";"1989-09-19";"1989-09-19";"Chester";"chester"
"Zach Randolph";"Zach Randolph";"1981-07-16";"1981-07-16";"Marion";"marion"
"Zach Randolph";"Zach Randolph";"1981-07-16";"1981-07-16";"Marion";"marion"
"Zach Randolph";"Zach Randolph";"1981-07-16";"1981-07-16";"Marion";"marion"
"Michael Beasley";"Michael Beasley";"1989-01-09";"1989-01-09";"Prince George's County";"frederick"
"Michael Beasley";"Michael Beasley";"1989-01-09";"1989-01-09";"Prince George's County";"frederick"
"Michael Beasley";"Michael Beasley";"1989-01-09";"1989-01-09";"Prince George's County";"frederick"
"Kawhi Leonard";"Kawhi Leonard";"1991-06-29";"1991-06-29";"Los Angeles";"losangeles"
"Kawhi Leonard";"Kawhi Leonard";"1991-06-29";"1991-06-29";"Los Angeles";"losangeles"
"Kawhi Leonard";"Kawhi Leonard";"1991-06-29";"1991-06-29";"Los Angeles";"losangeles"
"Greg Oden";"Greg Oden";"1988-01-22";"1988-01-22";"Buffalo";"buffalo"
"Greg Oden";"Greg Oden";"1988-01-22";"1988-01-22";"Buffalo";"buffalo"
"Greg Oden";"Greg Oden";"1988-01-22";"1988-01-22";"Buffalo";"buffalo"
"Elton Brand";"Elton Brand";"1979-03-11";"1979-03-11";"Cortlandt Manor";"cortland"
"Elton Brand";"Elton Brand";"1979-03-11";"1979-03-11";"Cortlandt Manor";"cortland"
"Elton Brand";"Elton Brand";"1979-03-11";"1979-03-11";"Cortlandt Manor";"cortland"
"Ray Allen";"Ray Allen";"1975-07-20";"1975-07-20";"Merced";"merced"
"Ray Allen";"Ray Allen";"1975-07-20";"1975-07-20";"Merced";"merced"
"Ray Allen";"Ray Allen";"1975-07-20";"1975-07-20";"Merced";"merced"
"Chris Andersen";"Chris Andersen";"1978-07-07";"1978-07-07";"Long Beach";"iola"
"Chris Andersen";"Chris Andersen";"1978-07-07";"1978-07-07";"Long Beach";"iola"
"Chris Andersen";"Chris Andersen";"1978-07-07";"1978-07-07";"Long Beach";"iola"
"Chase Budinger";"Chase Budinger";"1988-05-22";"1988-05-22";"Encinitas";"lajolla"
"Chase Budinger";"Chase Budinger";"1988-05-22";"1988-05-22";"Encinitas";"lajolla"
"Kevin Martin";"Kevin Martin";"1983-02-01";"1983-02-01";"Zanesville";"zanesville"
"Kevin Martin";"Kevin Martin";"1983-02-01";"1983-02-01";"Zanesville";"zanesville"
"Kevin Martin";"Kevin Martin";"1983-02-01";"1983-02-01";"Zanesville";"zanesville"
"Damian Lillard";"Damian Lillard";"1990-07-15";"1990-07-05";"Oakland";"oakland"
"Damian Lillard";"Damian Lillard";"1990-07-15";"1990-07-05";"Oakland";"oakland"
"Damian Lillard";"Damian Lillard";"1990-07-15";"1990-07-05";"Oakland";"oakland"
"Russell Westbrook";"Russell Westbrook";"1988-11-12";"1988-11-12";"Long Beach";"longbeach"
"Russell Westbrook";"Russell Westbrook";"1988-11-12";"1988-11-12";"Long Beach";"longbeach"
"Russell Westbrook";"Russell Westbrook";"1988-11-12";"1988-11-12";"Long Beach";"longbeach"
"Courtney Lee";"Courtney Lee";"1985-10-03";"1985-10-03";"Indianapolis";"indianapolis"
"Courtney Lee";"Courtney Lee";"1985-10-03";"1985-10-03";"Indianapolis";"indianapolis"
"Courtney Lee";"Courtney Lee";"1985-10-03";"1985-10-03";"Indianapolis";"indianapolis"
"Gerald Wallace";"Gerald Wallace";"1982-07-23";"1982-07-23";"Sylacauga";"sylacauga"
"Gerald Wallace";"Gerald Wallace";"1982-07-23";"1982-07-23";"Sylacauga";"sylacauga"
"Gerald Wallace";"Gerald Wallace";"1982-07-23";"1982-07-23";"Sylacauga";"sylacauga"
"MarShon Brooks";"MarShon Brooks";"1989-01-26";"1989-01-26";"Long Branch";"longbranch"
"MarShon Brooks";"MarShon Brooks";"1989-01-26";"1989-01-26";"Long Branch";"longbranch"
"Jordan Crawford";"Jordan Crawford";"1988-10-23";"1988-10-23";"Detroit";"detroit"
"Jordan Crawford";"Jordan Crawford";"1988-10-23";"1988-10-23";"Detroit";"detroit"
"Jordan Crawford";"Jordan Crawford";"1988-10-23";"1988-10-23";"Detroit";"detroit"
"Tony Parker";"Tony Parker";"1982-05-17";"1982-05-17";"Bruges";"belgium"
"Tony Parker";"Tony Parker";"1982-05-17";"1982-05-17";"Bruges";"belgium"
"Tony Parker";"Tony Parker";"1982-05-17";"1982-05-17";"Bruges";"belgium"
"Lance Stephenson";"Lance Stephenson";"1990-09-05";"1990-09-05";"Brooklyn";"brooklyn"
"Lance Stephenson";"Lance Stephenson";"1990-09-05";"1990-09-05";"Brooklyn";"brooklyn"
"Lance Stephenson";"Lance Stephenson";"1990-09-05";"1990-09-05";"Brooklyn";"brooklyn"
"Avery Bradley";"Avery Bradley";"1990-11-26";"1990-11-26";"Tacoma";"tacoma"
"Avery Bradley";"Avery Bradley";"1990-11-26";"1990-11-26";"Tacoma";"tacoma"
"Avery Bradley";"Avery Bradley";"1990-11-26";"1990-11-26";"Tacoma";"tacoma"
"Manu Ginóbili";"Manu Ginobili";"1977-07-28";"1977-07-28";"Bahía Blanca";"argentina"
"Manu Ginóbili";"Manu Ginobili";"1977-07-28";"1977-07-28";"Bahía Blanca";"argentina"
"Manu Ginóbili";"Manu Ginobili";"1977-07-28";"1977-07-28";"Bahía Blanca";"argentina"
"Kyle Lowry";"Kyle Lowry";"1986-03-25";"1986-03-25";"Philadelphia";"philadelphia"
"Kyle Lowry";"Kyle Lowry";"1986-03-25";"1986-03-25";"Philadelphia";"philadelphia"
"Paul George";"Paul George";"1990-05-02";"1990-05-02";"Palmdale";"palmdale"
"Paul George";"Paul George";"1990-05-02";"1990-05-02";"Palmdale";"palmdale"
"Paul George";"Paul George";"1990-05-02";"1990-05-02";"Palmdale";"palmdale"
"Josh Smith";"Josh Smith";"1985-12-05";"1985-12-05";"College Park";"collegepark"
"Josh Smith";"Josh Smith";"1985-12-05";"1985-12-05";"College Park";"collegepark"
"Josh Smith";"Josh Smith";"1985-12-05";"1985-12-05";"College Park";"collegepark"
"Andre Drummond";"Andre Drummond";"1993-08-10";"1993-08-10";"Mount Vernon";"mountvernon"
"Andre Drummond";"Andre Drummond";"1993-08-10";"1993-08-10";"Mount Vernon";"mountvernon"
"Andre Drummond";"Andre Drummond";"1993-08-10";"1993-08-10";"Mount Vernon";"mountvernon"
"Chris Paul";"Chris Paul";"1985-05-06";"1985-05-06";"Winston-Salem";"winston-salem"
"Chris Paul";"Chris Paul";"1985-05-06";"1985-05-06";"Winston-Salem";"winston-salem"
"Chris Paul";"Chris Paul";"1985-05-06";"1985-05-06";"Winston-Salem";"winston-salem"
"Kevin Love";"Kevin Love";"1988-09-07";"1988-09-07";"Santa Monica";"santamonica"
"Kevin Love";"Kevin Love";"1988-09-07";"1988-09-07";"Santa Monica";"santamonica"
"Kevin Love";"Kevin Love";"1988-09-07";"1988-09-07";"Santa Monica";"santamonica"
"Mike Conley, Jr.";"Mike Conley";"1987-10-11";"1987-10-11";"Fayetteville";"indianapolis"
"Brandon Jennings";"Brandon Jennings";"1989-09-23";"1989-09-23";"Compton";"compton"
"Mike Conley, Jr.";"Mike Conley";"1987-10-11";"1987-10-11";"Fayetteville";"indianapolis"
"Brandon Jennings";"Brandon Jennings";"1989-09-23";"1989-09-23";"Compton";"compton"
"Mike Conley, Jr.";"Mike Conley";"1987-10-11";"1987-10-11";"Fayetteville";"indianapolis"
"Brandon Jennings";"Brandon Jennings";"1989-09-23";"1989-09-23";"Compton";"compton"
"John Wall";"John Wall";"1990-09-06";"1990-09-06";"Raleigh";"raleigh"
"John Wall";"John Wall";"1990-09-06";"1990-09-06";"Raleigh";"raleigh"
"Al Jefferson";"Al Jefferson";"1985-01-04";"1985-01-04";"Monticello";"monticello"
"John Wall";"John Wall";"1990-09-06";"1990-09-06";"Raleigh";"raleigh"
"Al Jefferson";"Al Jefferson";"1985-01-04";"1985-01-04";"Monticello";"monticello"
"Al Jefferson";"Al Jefferson";"1985-01-04";"1985-01-04";"Monticello";"monticello"
"Roy Hibbert";"Roy Hibbert";"1986-12-11";"1986-12-11";"Queens";"queens"
"Roy Hibbert";"Roy Hibbert";"1986-12-11";"1986-12-11";"Queens";"queens"
"Roy Hibbert";"Roy Hibbert";"1986-12-11";"1986-12-11";"Queens";"queens"
"LaMarcus Aldridge";"LaMarcus Aldridge";"1985-07-19";"1985-07-19";"Dallas";"dallas"
"LaMarcus Aldridge";"LaMarcus Aldridge";"1985-07-19";"1985-07-19";"Dallas";"dallas"
"LaMarcus Aldridge";"LaMarcus Aldridge";"1985-07-19";"1985-07-19";"Dallas";"dallas"
"Ricky Rubio";"Ricky Rubio";"1990-10-21";"1990-10-21";"El Masnou";"spain"
"Ricky Rubio";"Ricky Rubio";"1990-10-21";"1990-10-21";"El Masnou";"spain"
"Ricky Rubio";"Ricky Rubio";"1990-10-21";"1990-10-21";"El Masnou";"spain"
"Kyrie Irving";"Kyrie Irving";"1992-03-23";"1992-03-23";"Melbourne";"australia"
"Kyrie Irving";"Kyrie Irving";"1992-03-23";"1992-03-23";"Melbourne";"australia"
"Kyrie Irving";"Kyrie Irving";"1992-03-23";"1992-03-23";"Melbourne";"australia"
"Paul Millsap";"Paul Millsap";"1985-02-10";"1985-02-10";"Monroe";"monroe"
"Paul Millsap";"Paul Millsap";"1985-02-10";"1985-02-10";"Monroe";"monroe"
"Serge Ibaka";"Serge Ibaka";"1989-09-18";"1989-09-18";"Brazzaville";
"Serge Ibaka";"Serge Ibaka";"1989-09-18";"1989-09-18";"Brazzaville";
"Serge Ibaka";"Serge Ibaka";"1989-09-18";"1989-09-18";"Brazzaville";
"Anthony Davis";"Anthony Davis";"1993-03-11";"1993-03-11";"Chicago";"chicago"
"Reggie Jackson";"Reggie Jackson";"1990-04-16";"1990-04-16";"Pordenone";"italy"
"Anthony Davis";"Anthony Davis";"1993-03-11";"1993-03-11";"Chicago";"chicago"
"Reggie Jackson";"Reggie Jackson";"1990-04-16";"1990-04-16";"Pordenone";"italy"
"Anthony Davis";"Anthony Davis";"1993-03-11";"1993-03-11";"Chicago";"chicago"
"Dwight Howard";"Dwight Howard";"1985-12-08";"1985-12-08";"Atlanta";"atlanta"
"Dwight Howard";"Dwight Howard";"1985-12-08";"1985-12-08";"Atlanta";"atlanta"
"Dwight Howard";"Dwight Howard";"1985-12-08";"1985-12-08";"Atlanta";"atlanta"
"Kevin Durant";"Kevin Durant";"1988-09-29";"1988-09-29";"Washington, D.C.";"washington"
"Kevin Durant";"Kevin Durant";"1988-09-29";"1988-09-29";"Washington, D.C.";"washington"
"Kevin Durant";"Kevin Durant";"1988-09-29";"1988-09-29";"Washington, D.C.";"washington"
"David West";"David West";"1980-08-29";"1980-08-29";"Teaneck";"teaneck"
"David West";"David West";"1980-08-29";"1980-08-29";"Teaneck";"teaneck"
"David West";"David West";"1980-08-29";"1980-08-29";"Teaneck";"teaneck"
"Devin Harris";"Devin Harris";"1983-02-27";"1983-02-27";"Milwaukee";"milwaukee"
"Devin Harris";"Devin Harris";"1983-02-27";"1983-02-27";"Milwaukee";"milwaukee"
"Devin Harris";"Devin Harris";"1983-02-27";"1983-02-27";"Milwaukee";"milwaukee"
"Andrew Bynum";"Andrew Bynum";"1987-10-27";"1987-10-27";"Plainsboro";"plainsboro"
"Andrew Bynum";"Andrew Bynum";"1987-10-27";"1987-10-27";"Plainsboro";"plainsboro"
"Andrew Bynum";"Andrew Bynum";"1987-10-27";"1987-10-27";"Plainsboro";"plainsboro"
"Kenneth Faried";"Kenneth Faried";"1989-11-19";"1989-11-19";"Newark";"newark"
"Kenneth Faried";"Kenneth Faried";"1989-11-19";"1989-11-19";"Newark";"newark"
"Kenneth Faried";"Kenneth Faried";"1989-11-19";"1989-11-19";"Newark";"newark"
"Ty Lawson";"Ty Lawson";"1987-11-03";"1987-11-03";"Clinton";"clinton"
"Ty Lawson";"Ty Lawson";"1987-11-03";"1987-11-03";"Clinton";"clinton"
"DeAndre Jordan";"DeAndre Jordan";"1988-07-21";"1988-07-21";"Houston";"houston"
"DeAndre Jordan";"DeAndre Jordan";"1988-07-21";"1988-07-21";"Houston";"houston"
"DeAndre Jordan";"DeAndre Jordan";"1988-07-21";"1988-07-21";"Houston";"houston"
"Chris Bosh";"Chris Bosh";"1984-03-24";"1984-03-24";"Dallas";"dallas"
"Chris Bosh";"Chris Bosh";"1984-03-24";"1984-03-24";"Dallas";"dallas"
"Chris Bosh";"Chris Bosh";"1984-03-24";"1984-03-24";"Dallas";"dallas"
"Andre Iguodala";"Andre Iguodala";"1984-01-28";"1984-01-28";"Springfield";"springfield"
"Andre Iguodala";"Andre Iguodala";"1984-01-28";"1984-01-28";"Springfield";"springfield"
"Andre Iguodala";"Andre Iguodala";"1984-01-28";"1984-01-28";"Springfield";"springfield"
"Blake Griffin";"Blake Griffin";"1989-03-16";"1989-03-16";"Oklahoma City";"oklahomacity"
"Blake Griffin";"Blake Griffin";"1989-03-16";"1989-03-16";"Oklahoma City";"oklahomacity"
"Blake Griffin";"Blake Griffin";"1989-03-16";"1989-03-16";"Oklahoma City";"oklahomacity"
"Jeremy Lin";"Jeremy Lin";"1988-08-23";"1988-08-23";"Los Angeles";"paloalto"
"Jeremy Lin";"Jeremy Lin";"1988-08-23";"1988-08-23";"Los Angeles";"paloalto"
"Jeremy Lin";"Jeremy Lin";"1988-08-23";"1988-08-23";"Los Angeles";"paloalto"
"Mike Dunleavy, Jr.";"Mike Dunleavy";"1980-09-15";"1980-09-15";"Fort Worth";"fortworth"
"Mike Dunleavy, Jr.";"Mike Dunleavy";"1980-09-15";"1980-09-15";"Fort Worth";"fortworth"
"Mike Dunleavy, Jr.";"Mike Dunleavy";"1980-09-15";"1980-09-15";"Fort Worth";"fortworth"
"Pau Gasol";"Pau Gasol";"1980-07-06";"1980-07-06";"Barcelona";"spain"
"Pau Gasol";"Pau Gasol";"1980-07-06";"1980-07-06";"Barcelona";"spain"
"Pau Gasol";"Pau Gasol";"1980-07-06";"1980-07-06";"Barcelona";"spain"
"Kendall Marshall";"Kendall Marshall";"1991-08-19";"1991-08-19";"Dumfries";"dumfries"
"Kendall Marshall";"Kendall Marshall";"1991-08-19";"1991-08-19";"Dumfries";"dumfries"
"Kendall Marshall";"Kendall Marshall";"1991-08-19";"1991-08-19";"Dumfries";"dumfries"
"Mario Chalmers";"Mario Chalmers";"1986-05-19";"1986-05-19";"Anchorage";"anchorage"
"Mario Chalmers";"Mario Chalmers";"1986-05-19";"1986-05-19";"Anchorage";"anchorage"
"Mario Chalmers";"Mario Chalmers";"1986-05-19";"1986-05-19";"Anchorage";"anchorage"
"Shaun Livingston";"Shaun Livingston";"1985-09-11";"1985-09-11";"Peoria";"peoria"
"Shaun Livingston";"Shaun Livingston";"1985-09-11";"1985-09-11";"Peoria";"peoria"
"Shaun Livingston";"Shaun Livingston";"1985-09-11";"1985-09-11";"Peoria";"peoria"
"Bradley Beal";"Bradley Beal";"1993-06-28";"1993-06-28";"St. Louis";
"Bradley Beal";"Bradley Beal";"1993-06-28";"1993-06-28";"St. Louis";
"Bradley Beal";"Bradley Beal";"1993-06-28";"1993-06-28";"St. Louis";
"DeMarcus Cousins";"DeMarcus Cousins";"1990-08-13";"1990-08-13";"Mobile";"mobile"
"DeMarcus Cousins";"DeMarcus Cousins";"1990-08-13";"1990-08-13";"Mobile";"mobile"
"DeMarcus Cousins";"DeMarcus Cousins";"1990-08-13";"1990-08-13";"Mobile";"mobile"
"Kendrick Perkins";"Kendrick Perkins";"1984-11-10";"1984-11-10";"Nederland";"nederland"
"Kendrick Perkins";"Kendrick Perkins";"1984-11-10";"1984-11-10";"Nederland";"nederland"
"Tim Duncan";"Tim Duncan";"1976-04-25";"1976-04-25";"Christiansted";"virginislands"
"Tim Duncan";"Tim Duncan";"1976-04-25";"1976-04-25";"Christiansted";"virginislands"
"Tim Duncan";"Tim Duncan";"1976-04-25";"1976-04-25";"Christiansted";"virginislands"
"Evan Turner";"Evan Turner";"1988-10-27";"1988-10-27";"Chicago";"chicago"
"Evan Turner";"Evan Turner";"1988-10-27";"1988-10-27";"Chicago";"chicago"
"Marco Belinelli";"Marco Belinelli";"1986-03-25";"1986-03-25";"San Giovanni in Persiceto";"italy"
"Marco Belinelli";"Marco Belinelli";"1986-03-25";"1986-03-25";"San Giovanni in Persiceto";"italy"
"Marco Belinelli";"Marco Belinelli";"1986-03-25";"1986-03-25";"San Giovanni in Persiceto";"italy"
"Jordan Hill";"Jordan Hill";"1987-07-27";"1987-07-27";"Newberry";"newberry"
"Jordan Hill";"Jordan Hill";"1987-07-27";"1987-07-27";"Newberry";"newberry"
"Jordan Hill";"Jordan Hill";"1987-07-27";"1987-07-27";"Newberry";"newberry"
"Dirk Nowitzki";"Dirk Nowitzki";"1978-06-19";"1978-06-19";"Würzburg";"westgermany"
"Dirk Nowitzki";"Dirk Nowitzki";"1978-06-19";"1978-06-19";"Würzburg";"westgermany"
"Dirk Nowitzki";"Dirk Nowitzki";"1978-06-19";"1978-06-19";"Würzburg";"westgermany"
"David Lee";"David Lee";"1983-04-29";"1983-04-29";"St. Louis";
"David Lee";"David Lee";"1983-04-29";"1983-04-29";"St. Louis";
"David Lee";"David Lee";"1983-04-29";"1983-04-29";"St. Louis";
"Brandon Bass";"Brandon Bass";"1985-04-30";"1985-04-30";"Baton Rouge";"batonrouge"
"Brandon Bass";"Brandon Bass";"1985-04-30";"1985-04-30";"Baton Rouge";"batonrouge"
"Brandon Bass";"Brandon Bass";"1985-04-30";"1985-04-30";"Baton Rouge";"batonrouge"
"Kris Humphries";"Kris Humphries";"1985-02-06";"1985-02-06";"Minneapolis";"chaska"
"Jared Sullinger";"Jared Sullinger";"1992-03-04";"1992-03-04";"Columbus";"columbus"
"Jared Sullinger";"Jared Sullinger";"1992-03-04";"1992-03-04";"Columbus";"columbus"
"Jared Sullinger";"Jared Sullinger";"1992-03-04";"1992-03-04";"Columbus";"columbus"
"Rajon Rondo";"Rajon Rondo";"1986-02-22";"1986-02-22";"Louisville";"louisville"
"Rajon Rondo";"Rajon Rondo";"1986-02-22";"1986-02-22";"Louisville";"louisville"
"Rajon Rondo";"Rajon Rondo";"1986-02-22";"1986-02-22";"Louisville";"louisville"
"Kris Humphries";"Kris Humphries";"1985-02-06";"1985-02-06";"Minneapolis";"chaska"
"Kris Humphries";"Kris Humphries";"1985-02-06";"1985-02-06";"Minneapolis";"chaska"
"Jeff Green";"Jeff Green";"1986-08-28";"1986-08-28";"Cheverly";"cheverly"
"Jeff Green";"Jeff Green";"1986-08-28";"1986-08-28";"Cheverly";"cheverly"
"Jeff Green";"Jeff Green";"1986-08-28";"1986-08-28";"Cheverly";"cheverly"
"Dwyane Wade";"Dwyane Wade";"1982-01-17";"1982-01-17";"Chicago";"chicago"
"Dwyane Wade";"Dwyane Wade";"1982-01-17";"1982-01-17";"Chicago";"chicago"
"Dwyane Wade";"Dwyane Wade";"1982-01-17";"1982-01-17";"Chicago";"chicago"
"Jason Collins";"Jason Collins";"1978-12-02";"1978-12-02";"Northridge";"northridge"
"Jason Collins";"Jason Collins";"1978-12-02";"1978-12-02";"Northridge";"northridge"
"Jason Collins";"Jason Collins";"1978-12-02";"1978-12-02";"Northridge";"northridge"
"Joe Johnson";"Joe Johnson";"1981-06-29";"1981-06-29";"Little Rock";"littlerock"
"Joe Johnson";"Joe Johnson";"1981-06-29";"1981-06-29";"Little Rock";"littlerock"
"Joe Johnson";"Joe Johnson";"1981-06-29";"1981-06-29";"Little Rock";"littlerock"
"Andray Blatche";"Andray Blatche";"1986-08-22";"1986-08-22";"Syracuse";"syracuse"
"Andray Blatche";"Andray Blatche";"1986-08-22";"1986-08-22";"Syracuse";"syracuse"
"Andray Blatche";"Andray Blatche";"1986-08-22";"1986-08-22";"Syracuse";"syracuse"
"Andrei Kirilenko";"Andrei Kirilenko";"1981-02-18";"1981-02-18";"Izhevsk";
"Andrei Kirilenko";"Andrei Kirilenko";"1981-02-18";"1981-02-18";"Izhevsk";
"Andrei Kirilenko";"Andrei Kirilenko";"1981-02-18";"1981-02-18";"Izhevsk";
"Kevin Garnett";"Kevin Garnett";"1976-05-19";"1976-05-19";"Greenville";"mauldin"
"Kevin Garnett";"Kevin Garnett";"1976-05-19";"1976-05-19";"Greenville";"mauldin"
"Kevin Garnett";"Kevin Garnett";"1976-05-19";"1976-05-19";"Greenville";"mauldin"
"Deron Williams";"Deron Williams";"1984-06-26";"1984-06-26";"Parkersburg";"parkersburg"
"Deron Williams";"Deron Williams";"1984-06-26";"1984-06-26";"Parkersburg";"parkersburg"
"Deron Williams";"Deron Williams";"1984-06-26";"1984-06-26";"Parkersburg";"parkersburg"
"Brook Lopez";"Brook Lopez";"1988-04-01";"1988-04-01";"North Hollywood";"northhollywood"
"Brook Lopez";"Brook Lopez";"1988-04-01";"1988-04-01";"North Hollywood";"northhollywood"
"Brook Lopez";"Brook Lopez";"1988-04-01";"1988-04-01";"North Hollywood";"northhollywood"
"Steve Novak";"Steve Novak";"1983-06-13";"1983-06-13";"Libertyville";"libertyville"
"Steve Novak";"Steve Novak";"1983-06-13";"1983-06-13";"Libertyville";"libertyville"
"Steve Novak";"Steve Novak";"1983-06-13";"1983-06-13";"Libertyville";"libertyville"
"Amar'e Stoudemire";"Amar'e Stoudemire";"1982-11-16";"1982-11-16";"Lake Wales";"lakewales"
"Amar'e Stoudemire";"Amar'e Stoudemire";"1982-11-16";"1982-11-16";"Lake Wales";"lakewales"
"Amar'e Stoudemire";"Amar'e Stoudemire";"1982-11-16";"1982-11-16";"Lake Wales";"lakewales"
"Earl Clark";"Earl Clark";"1988-01-17";"1988-01-17";"Plainfield";"newark"
"Earl Clark";"Earl Clark";"1988-01-17";"1988-01-17";"Plainfield";"newark"
"Earl Clark";"Earl Clark";"1988-01-17";"1988-01-17";"Plainfield";"newark"
"Metta World Peace";"Metta World Peace";"1979-11-13";"1979-11-13";"Queensbridge";
"Metta World Peace";"Metta World Peace";"1979-11-13";"1979-11-13";"Queensbridge";
"Metta World Peace";"Metta World Peace";"1979-11-13";"1979-11-13";"Queensbridge";
"Kenyon Martin";"Kenyon Martin";"1977-12-30";"1977-12-30";"Saginaw";"saginaw"
"Kenyon Martin";"Kenyon Martin";"1977-12-30";"1977-12-30";"Saginaw";"saginaw"
"Kenyon Martin";"Kenyon Martin";"1977-12-30";"1977-12-30";"Saginaw";"saginaw"
"Beno Udrih";"Beno Udrih";"1982-07-05";"1982-07-05";"Celje";"yugoslavia"
"Beno Udrih";"Beno Udrih";"1982-07-05";"1982-07-05";"Celje";"yugoslavia"
"Carlos Boozer";"Carlos Boozer";"1981-11-20";"1981-11-20";"Aschaffenburg";"westgermany"
"Carlos Boozer";"Carlos Boozer";"1981-11-20";"1981-11-20";"Aschaffenburg";"westgermany"
"Carlos Boozer";"Carlos Boozer";"1981-11-20";"1981-11-20";"Aschaffenburg";"westgermany"
"Danny Green";"Danny Green";"1987-06-22";"1987-06-22";"North Babylon";"newyork"
"Danny Green";"Danny Green";"1987-06-22";"1987-06-22";"North Babylon";"newyork"
"Danny Green";"Danny Green";"1987-06-22";"1987-06-22";"North Babylon";"newyork"
"Rudy Gay";"Rudy Gay";"1986-08-17";"1986-08-17";"Baltimore";"baltimore"
"Rudy Gay";"Rudy Gay";"1986-08-17";"1986-08-17";"Baltimore";"baltimore"
"Rudy Gay";"Rudy Gay";"1986-08-17";"1986-08-17";"Baltimore";"baltimore"
"J. R. Smith";"J.R. Smith";"1985-09-09";"1985-09-09";"Freehold Borough";"freehold"
"J. R. Smith";"J.R. Smith";"1985-09-09";"1985-09-09";"Freehold Borough";"freehold"
"J. R. Smith";"J.R. Smith";"1985-09-09";"1985-09-09";"Freehold Borough";"freehold"
"Lamar Odom";"Lamar Odom";"1979-11-06";"1979-11-06";"South Jamaica";"jamaica"
"Lamar Odom";"Lamar Odom";"1979-11-06";"1979-11-06";"South Jamaica";"jamaica"
"Lamar Odom";"Lamar Odom";"1979-11-06";"1979-11-06";"South Jamaica";"jamaica"
"Stephen Curry";"Stephen Curry";"1988-03-14";"1988-03-14";"Akron";"charlotte"
"Stephen Curry";"Stephen Curry";"1988-03-14";"1988-03-14";"Akron";"charlotte"
"Stephen Curry";"Stephen Curry";"1988-03-14";"1988-03-14";"Akron";"charlotte"
"Shane Battier";"Shane Battier";"1978-09-09";"1978-09-09";"Birmingham";"birmingham"
"Shane Battier";"Shane Battier";"1978-09-09";"1978-09-09";"Birmingham";"birmingham"
"Shane Battier";"Shane Battier";"1978-09-09";"1978-09-09";"Birmingham";"birmingham"
"Harrison Barnes";"Harrison Barnes";"1992-05-30";"1992-05-30";"Ames";"ames"
"Harrison Barnes";"Harrison Barnes";"1992-05-30";"1992-05-30";"Ames";"ames"
"Harrison Barnes";"Harrison Barnes";"1992-05-30";"1992-05-30";"Ames";"ames"
"Andrew Bogut";"Andrew Bogut";"1984-11-28";"1984-11-28";"Endeavour Hills";"australia"
"Andrew Bogut";"Andrew Bogut";"1984-11-28";"1984-11-28";"Endeavour Hills";"australia"
"Andrew Bogut";"Andrew Bogut";"1984-11-28";"1984-11-28";"Endeavour Hills";"australia"
"Steve Blake";"Steve Blake";"1980-02-26";"1980-02-26";"Hollywood";"hollywood"
"Steve Blake";"Steve Blake";"1980-02-26";"1980-02-26";"Hollywood";"hollywood"
"Steve Blake";"Steve Blake";"1980-02-26";"1980-02-26";"Hollywood";"hollywood"
"Carmelo Anthony";"Carmelo Anthony";"1984-05-29";"1984-05-29";"Red Hook";"newyork"
"Carmelo Anthony";"Carmelo Anthony";"1984-05-29";"1984-05-29";"Red Hook";"newyork"
"Carmelo Anthony";"Carmelo Anthony";"1984-05-29";"1984-05-29";"Red Hook";"newyork"
"Antawn Jamison";"Antawn Jamison";"1976-06-12";"1976-06-12";"Shreveport";"shreveport"
"Antawn Jamison";"Antawn Jamison";"1976-06-12";"1976-06-12";"Shreveport";"shreveport"
"Antawn Jamison";"Antawn Jamison";"1976-06-12";"1976-06-12";"Shreveport";"shreveport"
"Pablo Prigioni";"Pablo Prigioni";"1977-05-17";"1977-03-17";"Río Tercero";"argentina"
"Klay Thompson";"Klay Thompson";"1990-02-08";"1990-02-08";"Los Angeles";"losangeles"
"Pablo Prigioni";"Pablo Prigioni";"1977-05-17";"1977-03-17";"Río Tercero";"argentina"
